ADgroup,Lic_type,PSgroup,RESgroup,Description,Comments,Activity,category
dlg.WW.ADM-Services.P2V.access.development,1,,,P2V Development System,Access to the P2V Development system (developers only),CREATE,ACCESS
dlg.WW.ADM-Services.P2V.access.production,1,,,P2V Production System,Access to the P2V Production system,CREATE,ACCESS
dlg.WW.ADM-Services.P2V.access.test,1,,,P2V Test System ,Access to the P2V Test system,CREATE,ACCESS
dlg.WW.ADM-Services.P2V.access.training,1,,,P2V Training System  ,Access to the P2V Training system,CREATE,ACCESS
dlg.WW.ADM-Services.P2V.access.update,1,,,P2V Update System,Access to the P2V Update system,CREATE,ACCESS
dlg.WW.ADM-Services.P2V.Admin,3,Administrators,Administrators,P2V Administrator,special permissions for Plan2Value Admins,UPDATE,EXTRA
dlg.WW.ADM-Services.P2V.approver,1,DELETE,DELETE,P2V approver,Group for users have an approval role in any P2V workflow/process,DELETE,DELETE
dlg.WW.ADM-Services.P2V.Aucerna,3,AUCERNA,AUCERNA,P2V vendor,Group for external consultants  & support people with P2V access,UPDATE,EXTRA
dlg.WW.ADM-Services.P2V.auditor,1,Auditor,Auditor,P2V auditor,special permission to access audit-logs,UPDATE,EXTRA
dlg.WW.ADM-Services.P2V.BD.key,3,BusinessDev_key,BusinessDev_key,P2V Business Development key user,special permissions for BD groups,UPDATE,EXTRA
dlg.WW.ADM-Services.P2V.BD.power,3,BusinessDev_power,BusinessDev_power,P2V Business Development power user,special permissions for BD groups (power),UPDATE,EXTRA
dlg.WW.ADM-Services.P2V.CO.key,3,DELETE,DELETE,Controlling key user,Controlling key user,DELETE,OLD
dlg.WW.ADM-Services.P2V.CO.power,3,DELETE,DELETE,Controlling power user HO,Controlling power user HO,DELETE,OLD
dlg.WW.ADM-Services.P2V.data.ARE,1,data.ArabEmirates,data.ArabEmirates,Data ArabEmirates,Data access P2V ArabEmirates,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.AUS,1,data.Australia,data.Australia,Data Australia,Data access P2V Australia,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.AUT,1,data.Austria,data.Austria,Data Austria,Data access P2V Austria,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.BGR,1,data.Bulgaria,data.Bulgaria,Data Bulgaria,Data access P2V Bulgaria,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.corporate,1,data.Corporate,data.Corporate,Data Corporate OMV,Data access P2V global (OMV Headoffice) ,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.GEO,1,data.Georgia,data.Georgia,Data Georgia,Data access P2V Georgia,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.KRI,1,data.Kurdistan,data.Kurdistan,Data Kurdistan,Data access P2V Kurdistan,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.KZ,1,DELETE,DELETE,OMV BO Kazakhstan users,are allowed to see on data from BO Kazakhstan,DELETE,DELETE
dlg.WW.ADM-Services.P2V.data.LBY,1,data.Libya,data.Libya,Data Libya,Data access P2V Libya,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.MEX,1,data.Mexico,data.Mexico,Data Mexico,Data access P2V Mexico,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.MYS,1,data.Malaysia,data.Malaysia,Data Malaysia,Data access P2V Malaysia,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.NOR,1,data.Norway,data.Norway,Data Norway,Data access P2V Norway,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.NZL,1,data.NewZealand,data.NewZealand,Data New Zealand,Data access P2V New Zealand,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.ROU,1,data.Romania,data.Romania,Data Romania,Data access P2V Romania,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.RUS,1,data.Russia,data.Russia,Data Russia,Data access P2V Russia,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.Sapura,1,DELETE,DELETE,OMV Sapura users,are allowed to see on data from OMV Sapura,DELETE,OLD
dlg.WW.ADM-Services.P2V.data.TUN,1,data.Tunisia,data.Tunisia,Data Tunisia,Data access P2V Tunisia,CREATE,DATA
dlg.WW.ADM-Services.P2V.data.YEM,1,data.Yemen,data.Yemen,Data Yemen,Data access P2V Yemen,CREATE,DATA
dlg.WW.ADM-Services.P2V.DataLoader,1,Data_Loader,Data_Loader,Data provider,user are allowed to update their project data,DELETE,OLD
dlg.WW.ADM-Services.P2V.developer,3,Developer,Developer,P2V Developer,special permissions for developers,UPDATE,EXTRA
dlg.WW.ADM-Services.P2V.DF.key,3,DELETE,DELETE,DF Key user ,DF Key user in Branchoffice,DELETE,OLD
dlg.WW.ADM-Services.P2V.DF.power,3,DELETE,DELETE,DF Power user in HO,DF Power user in Headoffice,DELETE,OLD
dlg.WW.ADM-Services.P2V.DF.unlock,1,Dataflow.unlock,Objects.unlock,Documents.unlock,permission to unlock  objects in DATAFLOW module,CREATE,EXTRA
dlg.WW.ADM-Services.P2V.ECO.key,3,DELETE,DELETE,Economics key user ,Economics user in HO + BO,DELETE,OLD
dlg.WW.ADM-Services.P2V.ECO.power,3,DELETE,DELETE,Economics power user in HO,Economics power user in headoffice - global settings,DELETE,OLD
dlg.WW.ADM-Services.P2V.ECO.regimes,3,Economics.regimes,Economics.regimes,Economics.Regimes,special permission to access regimes library in ECONOMICS module,CREATE,EXTRA
dlg.WW.ADM-Services.P2V.ECO.unlock,3,Economics.unlock,Economics.unlock,Economics.unlock,permission to unlock  objects in ECONOMICS module,CREATE,EXTRA
dlg.WW.ADM-Services.P2V.EX.key,3,DELETE,DELETE,Exploration key user,Exploration key user,DELETE,OLD
dlg.WW.ADM-Services.P2V.EX.power,3,DELETE,DELETE,Exploration power user HO,Exploration power user HO,DELETE,OLD
dlg.WW.ADM-Services.P2V.FIN.regimes,3,Financials.regimes,Financials.regimes,Finance.Regimes,special permission to access regimes library in FINANCE module,CREATE,EXTRA
dlg.WW.ADM-Services.P2V.FIN.unlock,3,Financials.unlock,Financials.unlock,Financials.unlock,permission to unlock  objects in FINANCIALS module,CREATE,EXTRA
dlg.WW.ADM-Services.P2V.Interfaces,1,DELETE,DELETE,group for API usage,permissions used for interface APIs,DELETE,DELETE
dlg.WW.ADM-Services.P2V.Odata,1,DELETE,DELETE,External Data interface using Odata,permissions to use Odata as interface,DELETE,OLD
dlg.WW.ADM-Services.P2V.PP.key,3,DELETE,DELETE,Planning & Portfolio key user,Planning & Portfolio key user,DELETE,OLD
dlg.WW.ADM-Services.P2V.PP.power,3,DELETE,DELETE,Planning & Portfolio power user in HO,Planning & Portfolio power user in HO,DELETE,OLD
dlg.WW.ADM-Services.P2V.profile.Admin.Headoffice,3,profile.Admin.Headoffice,profile.Admin.Headoffice,P2V Headoffice Administrator,Headoffice P2V Administrator access,CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Economics.Headoffice,3,profile.Economics.Headoffice,profile.Economics.Headoffice,P2V Headoffice economist,OMV Corporate Economists role,CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Economics.local,3,profile.Economics.local,profile.Economics.local,P2V Local country economist,Branch Office economists role,CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Finance.Headoffice,3,profile.Finance.Headoffice,profile.Finance.Headoffice,P2V Headoffice controller,OMV Corporate controller role,CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Finance.local,3,profile.Finance.local,profile.Finance.local,P2V Local country controller,Branch Office controller role,CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.LightUser.Headoffice,1,profile.LightUser.Headoffice,profile.LightUser.Headoffice,P2V Headoffice readonly user,OMV Corporate readonly access (light user),CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.LightUser.local,1,profile.LightUser.local,profile.LightUser.local,P2V Local readonly user,Branch Office readonly access (light user),CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.PP.Headoffice,3,profile.PP.Headoffice,profile.PP.Headoffice,P2V Headoffice PP user,OMV Corporate Planning & Portfolio role (standard user),CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.PP.Headoffice.Power,3,profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,P2V Headoffice PP power user,OMV Corporate Planning & Portfolio role (power user),CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.PP.local,3,profile.PP.local,profile.PP.local,P2V Local country PP user,Branch Office Planning & Portfolio role,CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Projectmanager,1,profile.Projectmanager,profile.Projectmanager,P2V Projectmanager,P2V Projectmanager role (data entry),CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Reserves.Headoffice,3,profile.Reserves.Headoffice,profile.Reserves.Headoffice,P2V Headoffice reserves User,OMV Corporate reserves role (standard user),CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Reserves.Headoffice.Approve,3,profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,Reserves headoffice approval,special approval role for Headoffice RESERVES ,CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Reserves.Headoffice.Power,3,profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,P2V Headoffice reserves power user,OMV Corporate reserves role (power user),CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Reserves.local.Approve,3,profile.Reserves.local.Approve,profile.Reserves.local.Approve,Reserves local approval,special approval role for branch offices RESERVES ,CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Reserves.local.QRE,3,profile.Reserves.local.QRE,profile.Reserves.local.QRE,P2V Local country QRE,Branch office QRE role,CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Reserves.readonly,1,profile.Reserves.readonly,profile.Reserves.readonly,P2V Reserves readonly,Reserves readonly role,CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Resources.Headoffice,1,profile.Resources.Headoffice,profile.Resources.Headoffice,P2V Headoffice Exploration user,OMV Corporate Exporation user (ressource access),CREATE,PROFILE
dlg.WW.ADM-Services.P2V.profile.Resources.local,1,profile.Resources.local,profile.Resources.local,P2V Local country Exploration user,Branch office Exporation user (ressource access),CREATE,PROFILE
dlg.WW.ADM-Services.P2V.RES.key,3,DELETE,DELETE,Reserves key user ,,DELETE,OLD
dlg.WW.ADM-Services.P2V.RES.power,3,DELETE,DELETE,Reserves power user HO,Reserves power user HO,DELETE,OLD
dlg.WW.ADM-Services.P2V.serveradmin,0,Everyone,Everyone,P2V Production server admin,P2V Production system administrators,UPDATE,SYSTEM
dlg.WW.ADM-Services.P2V.testserveradmin,0,Everyone,Everyone,P2V Test server admin,P2V Testserver   system  administrators,UPDATE,SYSTEM
dlg.WW.ADM-Services.P2V.testusers,1,DELETE,DELETE,OMV Core Team Members,temp. Group for initial project phast - should disappear at later stage,DELETE,OLD
dlg.WW.ADM-Services.P2V.useradmin,1,User.admin,User.admin,P2V Useradmin,permissions for Plan2Value useradministration,UPDATE,EXTRA
dlg.WW.ADM-Services.P2V.users,1,DELETE,DELETE,Standard account,minimum permission,DELETE,OLD
dlg.WW.ADM-Services.PetroVR,2,PetroVR_users,PetroVR_users,PetroVR,PetroVR user,UPDATE,EXTRA
