LogonId,authenticationMethod,Domain,DisplayName,Description,IsDeactivated,IsAccountLocked,EmailAddress
demo1,LOCAL,,ZZ - Demo User 1 - ECO corporate,Headoffice Economist,FALSE,FALSE,
demo2,LOCAL,,ZZ - Demo User 2 - PP corporate,Headoffice PP Power User,FALSE,FALSE,
demo3,LOCAL,,ZZ - Demo User 3 - FIN corporate,Headoffice Controller,FALSE,FALSE,
demo4,LOCAL,,ZZ - Demo User 4 - RES corporate,Headoffice Reserves Power User,FALSE,FALSE,
demo5,LOCAL,,ZZ - Demo User 5 - ECO AUT,Local Country Economist Austria,FALSE,FALSE,
demo6,LOCAL,,ZZ - Demo User 6 - PP AUT,Local Country PP User Austria,FALSE,FALSE,
demo7,LOCAL,,ZZ - Demo User 7 - FIN AUT,Local Country Controller Austria,FALSE,FALSE,
demo8,LOCAL,,ZZ - Demo User 8 - RES AUT,Local Country QRE Austria,FALSE,FALSE,
demo9,LOCAL,,ZZ - Demo User 9 - ECO NOR,Local Country Economist Norway,FALSE,FALSE,
demo10,LOCAL,,ZZ - Demo User 10 - PP NOR,Local Country PP User Norway,FALSE,FALSE,
demo11,LOCAL,,ZZ - Demo User 11 - FIN NOR,Local Country Controller Norway,FALSE,FALSE,
demo12,LOCAL,,ZZ - Demo User 12 - RES NOR,Local Country QRE Norway,FALSE,FALSE,
demo13,LOCAL,,ZZ - Demo User 13 - ECO RUS,Local Country Economist Russia,FALSE,FALSE,
demo14,LOCAL,,ZZ - Demo User 14 - PP RUS,Local Country PP User Russia,FALSE,FALSE,
demo15,LOCAL,,ZZ - Demo User 15 - FIN RUS,Local Country Controller Russia,FALSE,FALSE,
demo16,LOCAL,,ZZ - Demo User 16 - RES RUS,Local Country QRE Russia,FALSE,FALSE,
demo17,LOCAL,,ZZ - Demo User 17 - ECO ARE,Local Country Economist UnitedArabEmirates,FALSE,FALSE,
demo18,LOCAL,,ZZ - Demo User 18 - ECO AUS,Local Country Economist Australia,FALSE,FALSE,
demo19,LOCAL,,ZZ - Demo User 19 - ECO AUS (Sapura),Local Country Economist Australia (Sapura),FALSE,FALSE,
demo20,LOCAL,,ZZ - Demo User 20 - ECO BGR,Local Country Economist Bulgaria,FALSE,FALSE,
demo21,LOCAL,,ZZ - Demo User 21 - ECO GEO,Local Country Economist Georgia,FALSE,FALSE,
demo22,LOCAL,,ZZ - Demo User 22 - ECO KRI,Local Country Economist Kurdistan,FALSE,FALSE,
demo23,LOCAL,,ZZ - Demo User 23 - ECO LBY,Local Country Economist Lybia,FALSE,FALSE,
demo24,LOCAL,,ZZ - Demo User 24 - ECO MEX,Local Country Economist Mexico,FALSE,FALSE,
demo25,LOCAL,,ZZ - Demo User 25 - ECO MYS,Local Country Economist Malaysia,FALSE,FALSE,
demo26,LOCAL,,ZZ - Demo User 26 - ECO NZL,Local Country Economist New Zealand,FALSE,FALSE,
demo27,LOCAL,,ZZ - Demo User 27 - ECO NZL (Sapura),Local Country Economist New Zealand (Sapura),FALSE,FALSE,
demo28,LOCAL,,ZZ - Demo User 28 - ECO ROU,Local Country Economist Romania,FALSE,FALSE,
demo29,LOCAL,,ZZ - Demo User 29 - ECO TUN,Local Country Economist Tunisia,FALSE,FALSE,
demo30,LOCAL,,ZZ - Demo User 30 - ECO YEM,Local Country Economist Yemen,FALSE,FALSE,
