LogonId,Profile
demo1,profile.Economics.Headoffice
demo1,data.Corporate
demo10,data.Norway
demo10,profile.PP.local
demo11,data.Norway
demo11,profile.Finance.local
demo12,data.Norway
demo12,profile.Reserves.local.QRE
demo13,data.Russia
demo13,profile.Economics.local
demo14,data.Russia
demo14,profile.PP.local
demo15,profile.Finance.local
demo15,data.Russia
demo16,data.Russia
demo16,profile.Reserves.local.QRE
demo17,data.ArabEmirates
demo17,profile.Economics.local
demo18,data.Australia
demo18,profile.Economics.local
demo19,data.Sapura.Australia
demo19,profile.Economics.local
demo2,data.Corporate
demo2,profile.PP.Headoffice.Power
demo20,data.Bulgaria
demo20,profile.Economics.local
demo21,data.Georgia
demo21,profile.Economics.local
demo22,data.Kurdistan
demo22,profile.Economics.local
demo23,data.Libya
demo23,profile.Economics.local
demo24,data.Mexico
demo24,profile.Economics.local
demo25,data.Malaysia
demo25,profile.Economics.local
demo26,data.NewZealand
demo26,profile.Economics.local
demo27,data.Sapura.NewZealand
demo27,profile.Economics.local
demo28,data.Romania
demo28,profile.Economics.local
demo29,data.Tunisia
demo29,profile.Economics.local
demo3,data.Corporate
demo3,profile.Finance.Headoffice
demo3,profile.Finance.Regimes
demo30,data.Yemen
demo30,profile.Economics.local
demo31,profile.Finance.local
demo31,data.ArabEmirates
demo32,data.Australia
demo32,profile.Finance.local
demo33,data.Sapura.Australia
demo33,profile.Finance.local
demo34,profile.Finance.local
demo34,data.Bulgaria
demo35,profile.Finance.local
demo35,data.Georgia
demo36,profile.Finance.local
demo36,data.Kurdistan
demo37,profile.Finance.local
demo37,data.Libya
demo38,profile.Finance.local
demo38,data.Mexico
demo39,profile.Finance.local
demo39,data.Malaysia
demo4,profile.Reserves.Headoffice.Power
demo4,data.Corporate
demo40,data.NewZealand
demo40,profile.Finance.local
demo41,data.Sapura.NewZealand
demo41,profile.Finance.local
demo42,profile.Finance.local
demo42,data.Romania
demo43,profile.Finance.local
demo43,data.Tunisia
demo44,profile.Finance.local
demo44,data.Yemen
demo45,data.ArabEmirates
demo45,profile.PP.local
demo46,data.Australia
demo46,profile.PP.local
demo47,data.Sapura.Australia
demo47,profile.PP.local
demo48,data.Bulgaria
demo48,profile.PP.local
demo49,data.Georgia
demo49,profile.PP.local
demo5,data.Austria
demo5,profile.Economics.local
demo50,data.Kurdistan
demo50,profile.PP.local
demo51,data.Libya
demo51,profile.PP.local
demo52,data.Mexico
demo52,profile.PP.local
demo53,data.Malaysia
demo53,profile.PP.local
demo54,data.NewZealand
demo54,profile.PP.local
demo55,data.Sapura.NewZealand
demo55,profile.PP.local
demo56,data.Romania
demo56,profile.PP.local
demo57,data.Tunisia
demo57,profile.PP.local
demo58,data.Yemen
demo58,profile.PP.local
demo59,data.ArabEmirates
demo59,profile.Reserves.local.QRE
demo6,data.Austria
demo6,profile.PP.local
demo60,data.Australia
demo60,profile.Reserves.local.QRE
demo61,data.Sapura.Australia
demo61,profile.Reserves.local.QRE
demo62,data.Bulgaria
demo62,profile.Reserves.local.QRE
demo63,data.Georgia
demo63,profile.Reserves.local.QRE
demo64,data.Kurdistan
demo64,profile.Reserves.local.QRE
demo65,data.Libya
demo65,profile.Reserves.local.QRE
demo66,data.Mexico
demo66,profile.Reserves.local.QRE
demo67,data.Malaysia
demo67,profile.Reserves.local.QRE
demo68,data.NewZealand
demo68,profile.Reserves.local.QRE
demo69,data.Sapura.NewZealand
demo69,profile.Reserves.local.QRE
demo7,data.Austria
demo7,profile.Finance.local
demo70,data.Romania
demo70,profile.Reserves.local.QRE
demo71,data.Tunisia
demo71,profile.Reserves.local.QRE
demo72,data.Yemen
demo72,profile.Reserves.local.QRE
demo8 ,data.Austria
demo8 ,profile.Reserves.local.QRE
demo9,data.Norway
demo9,profile.Economics.local
