LogonId,authenticationMethod,Domain,DisplayName,Description,IsDeactivated,IsAccountLocked
demo3,LOCAL,,ZZ - Demo User 3 - FIN corporate,Headoffice Controller,FALSE,TRUE
demo1,LOCAL,,ZZ - Demo User 1 - ECO corporate,Headoffice Economist,FALSE,TRUE
demo2,LOCAL,,ZZ - Demo User 2 - PP corporate,Headoffice PP Power User,FALSE,TRUE
demo4,LOCAL,,ZZ - Demo User 4 - RES corporate,Headoffice Reserves Power User,FALSE,TRUE
demo31,LOCAL,,ZZ - Demo User 31 - FIN ARE,Local Controller ArabEmirates,FALSE,TRUE
demo32,LOCAL,,ZZ - Demo User 32 - FIN AUS,Local Controller Australia,FALSE,TRUE
demo33,LOCAL,,ZZ - Demo User 33 - FIN AUS (Sapura),Local Controller Australia (Sapura),FALSE,TRUE
demo7,LOCAL,,ZZ - Demo User 7 - FIN AUT,Local Controller Austria,FALSE,TRUE
demo34,LOCAL,,ZZ - Demo User 34 - FIN BGR,Local Controller Bulgaria,FALSE,TRUE
demo35,LOCAL,,ZZ - Demo User 35 - FIN GEO,Local Controller Georgia,FALSE,TRUE
demo36,LOCAL,,ZZ - Demo User 36 - FIN KRI,Local Controller Kurdistan,FALSE,TRUE
demo37,LOCAL,,ZZ - Demo User 37 - FIN LBY,Local Controller Lybia,FALSE,TRUE
demo39,LOCAL,,ZZ - Demo User 39 - FIN MYS,Local Controller Malaysia,FALSE,TRUE
demo38,LOCAL,,ZZ - Demo User 38 - FIN MEX,Local Controller Mexico,FALSE,TRUE
demo40,LOCAL,,ZZ - Demo User 40 - FIN NZL,Local Controller New Zealand,FALSE,TRUE
demo41,LOCAL,,ZZ - Demo User 41 - FIN NZL (Sapura),Local Controller New Zealand (Sapura),FALSE,TRUE
demo11,LOCAL,,ZZ - Demo User 11 - FIN NOR,Local Controller Norway,FALSE,TRUE
demo42,LOCAL,,ZZ - Demo User 42 - FIN ROU,Local Controller Romania,FALSE,TRUE
demo15,LOCAL,,ZZ - Demo User 15 - FIN RUS,Local Controller Russia,FALSE,TRUE
demo43,LOCAL,,ZZ - Demo User 43 - FIN TUN,Local Controller Tunisia,FALSE,TRUE
