LogonId,Workgroup
demo39,bd.deny.02
demo39,bd.deny.01
demo39,bd.001.deny
demo39,bd.deny.03
demo39,temp.adjust.admin.readonly
demo39,license.heavy
demo39,temp.adjust.ecoresults
demo39,temp.adjust.eco
demo39,Portfolio
demo39,P2V.base
demo39,profile.Finance.local
demo39,Financials.key
demo39,Reporting
demo39,temp.ecoresults.readonly
demo39,temp.financials
demo39,temp.input
demo39,temp.economics.readonly
demo39,temp.adjust.fin
demo39,temp.adjust.input.readonly
demo39,temp.admin.readonly
demo39,data.Malaysia
demo39,data.Malaysia.Finance
demo49,bd.deny.02
demo49,bd.deny.01
demo49,bd.001.deny
demo49,bd.deny.03
demo49,Input.Confirm
demo49,license.heavy
demo49,Reporting
demo49,temp.adjust.admin
demo49,Reserves.base
demo49,P2V.base
demo49,profile.PP.local
demo49,Portfolio
demo49,DataFlow.key
demo49,temp.financials.readonly
demo49,temp.input
demo49,temp.adjust.fin.readonly
demo49,temp.ecoresults.readonly
demo49,temp.adjust.input.readonly
demo49,temp.admin
demo49,temp.economics.readonly
demo49,temp.adjust.eco.readonly
demo49,temp.adjust.ecoresults.readonly
demo44,data.Yemen.Finance
demo44,bd.deny.02
demo44,bd.deny.01
demo44,bd.001.deny
demo44,bd.deny.03
demo44,temp.adjust.admin.readonly
demo44,license.heavy
demo44,temp.adjust.ecoresults
demo44,temp.adjust.eco
demo44,Portfolio
demo44,P2V.base
demo44,profile.Finance.local
demo44,Financials.key
demo44,Reporting
demo44,temp.ecoresults.readonly
demo44,temp.financials
demo44,temp.input
demo44,temp.economics.readonly
demo44,temp.adjust.fin
demo44,temp.adjust.input.readonly
demo44,temp.admin.readonly
demo44,data.Yemen
demo6,bd.deny.02
demo6,bd.deny.01
demo6,bd.001.deny
demo6,bd.deny.03
demo6,data.Austria
demo6,data.Austria.key
demo6,Input.Confirm
demo6,license.heavy
demo6,Reporting
demo6,temp.adjust.admin
demo6,Reserves.base
demo6,P2V.base
demo6,profile.PP.local
demo6,Portfolio
demo6,DataFlow.key
demo6,temp.financials.readonly
demo6,temp.input
demo6,temp.adjust.fin.readonly
demo6,temp.ecoresults.readonly
demo6,temp.adjust.input.readonly
demo6,temp.admin
demo6,temp.economics.readonly
demo6,temp.adjust.eco.readonly
demo6,temp.adjust.ecoresults.readonly
demo5,bd.deny.02
demo5,bd.deny.01
demo5,bd.001.deny
demo5,bd.deny.03
demo5,data.Austria
demo5,data.Austria.Economics
demo5,Reporting
demo5,Economics.key
demo5,Portfolio
demo5,profile.Economics.local
demo5,P2V.base
demo5,temp.adjust.admin
demo5,temp.adjust.eco
demo5,license.heavy
demo5,Economics.Regimes.readonly
demo5,Reserves.base
demo5,temp.adjust.ecoresults
demo5,temp.financials.readonly
demo5,temp.ecoresults
demo5,data.Everyone.economics
demo5,temp.input
demo5,temp.adjust.input
demo5,temp.adjust.fin.readonly
demo5,temp.economics
demo5,temp.admin
demo17,bd.deny.02
demo17,bd.deny.01
demo17,bd.001.deny
demo17,bd.deny.03
demo17,data.ArabEmirates
demo17,data.ArabEmirates.Economics
demo17,Reporting
demo17,Economics.key
demo17,Portfolio
demo17,profile.Economics.local
demo17,P2V.base
demo17,temp.adjust.admin
demo17,temp.adjust.eco
demo17,license.heavy
demo17,Economics.Regimes.readonly
demo17,Reserves.base
demo17,temp.adjust.ecoresults
demo17,temp.financials.readonly
demo17,temp.ecoresults
demo17,data.Everyone.economics
demo17,temp.input
demo17,temp.adjust.input
demo17,temp.adjust.fin.readonly
demo17,temp.economics
demo17,temp.admin
demo26,bd.deny.02
demo26,bd.deny.01
demo26,bd.001.deny
demo26,bd.deny.03
demo26,data.NewZealand
demo26,data.NewZealand.Economics
demo26,Reporting
demo26,Economics.key
demo26,Portfolio
demo26,profile.Economics.local
demo26,P2V.base
demo26,temp.adjust.admin
demo26,temp.adjust.eco
demo26,license.heavy
demo26,Economics.Regimes.readonly
demo26,Reserves.base
demo26,temp.adjust.ecoresults
demo26,temp.financials.readonly
demo26,temp.ecoresults
demo26,data.Everyone.economics
demo26,temp.input
demo26,temp.adjust.input
demo26,temp.adjust.fin.readonly
demo26,temp.economics
demo26,temp.admin
demo63,bd.deny.02
demo63,bd.deny.01
demo63,bd.001.deny
demo63,bd.deny.03
demo63,Reserves.base
demo63,Reporting
demo63,Reserves.key
demo63,temp.adjust.admin.readonly
demo63,Reserves.Submitter
demo63,license.heavy
demo63,Input.Confirm
demo63,P2V.base
demo63,profile.Reserves.local.QRE
demo63,Portfolio
demo63,temp.adjust.ecoresults.deny
demo63,temp.adjust.eco.readonly
demo63,temp.economics.readonly
demo63,temp.input
demo63,temp.financials.deny
demo63,temp.adjust.fin.deny
demo63,temp.ecoresults.deny
demo63,temp.admin.readonly
demo63,temp.adjust.input.readonly
demo14,bd.deny.02
demo14,bd.deny.01
demo14,bd.001.deny
demo14,bd.deny.03
demo14,data.Russia
demo14,data.Russia.key
demo14,Input.Confirm
demo14,license.heavy
demo14,Reporting
demo14,temp.adjust.admin
demo14,Reserves.base
demo14,P2V.base
demo14,profile.PP.local
demo14,Portfolio
demo14,DataFlow.key
demo14,temp.financials.readonly
demo14,temp.input
demo14,temp.adjust.fin.readonly
demo14,temp.ecoresults.readonly
demo14,temp.adjust.input.readonly
demo14,temp.admin
demo14,temp.economics.readonly
demo14,temp.adjust.eco.readonly
demo14,temp.adjust.ecoresults.readonly
demo29,bd.deny.02
demo29,bd.deny.01
demo29,bd.001.deny
demo29,bd.deny.03
demo29,data.Tunisia
demo29,data.Tunisia.Economics
demo29,Reporting
demo29,Economics.key
demo29,Portfolio
demo29,profile.Economics.local
demo29,P2V.base
demo29,temp.adjust.admin
demo29,temp.adjust.eco
demo29,license.heavy
demo29,Economics.Regimes.readonly
demo29,Reserves.base
demo29,temp.adjust.ecoresults
demo29,temp.financials.readonly
demo29,temp.ecoresults
demo29,data.Everyone.economics
demo29,temp.input
demo29,temp.adjust.input
demo29,temp.adjust.fin.readonly
demo29,temp.economics
demo29,temp.admin
demo19,bd.deny.02
demo19,bd.deny.01
demo19,bd.001.deny
demo19,bd.deny.03
demo19,data.Sapura.Australia
demo19,data.Sapura.Australia.Economics
demo19,Reporting
demo19,Economics.key
demo19,Portfolio
demo19,profile.Economics.local
demo19,P2V.base
demo19,temp.adjust.admin
demo19,temp.adjust.eco
demo19,license.heavy
demo19,Economics.Regimes.readonly
demo19,Reserves.base
demo19,temp.adjust.ecoresults
demo19,temp.financials.readonly
demo19,temp.ecoresults
demo19,data.Everyone.economics
demo19,temp.input
demo19,temp.adjust.input
demo19,temp.adjust.fin.readonly
demo19,temp.economics
demo19,temp.admin
demo42,bd.deny.02
demo42,bd.deny.01
demo42,bd.001.deny
demo42,bd.deny.03
demo42,temp.adjust.admin.readonly
demo42,license.heavy
demo42,temp.adjust.ecoresults
demo42,temp.adjust.eco
demo42,Portfolio
demo42,P2V.base
demo42,profile.Finance.local
demo42,Financials.key
demo42,Reporting
demo42,temp.ecoresults.readonly
demo42,temp.financials
demo42,temp.input
demo42,temp.economics.readonly
demo42,temp.adjust.fin
demo42,temp.adjust.input.readonly
demo42,temp.admin.readonly
demo42,data.Romania
demo42,data.Romania.Finance
demo33,bd.deny.02
demo33,bd.deny.01
demo33,bd.001.deny
demo33,bd.deny.03
demo33,data.Sapura.Australia
demo33,data.Sapura.Australia.Finance
demo33,temp.adjust.admin.readonly
demo33,license.heavy
demo33,temp.adjust.ecoresults
demo33,temp.adjust.eco
demo33,Portfolio
demo33,P2V.base
demo33,profile.Finance.local
demo33,Financials.key
demo33,Reporting
demo33,temp.ecoresults.readonly
demo33,temp.financials
demo33,temp.input
demo33,temp.economics.readonly
demo33,temp.adjust.fin
demo33,temp.adjust.input.readonly
demo33,temp.admin.readonly
demo41,bd.deny.02
demo41,bd.deny.01
demo41,bd.001.deny
demo41,bd.deny.03
demo41,data.Sapura.NewZealand
demo41,data.Sapura.NewZealand.Finance
demo41,temp.adjust.admin.readonly
demo41,license.heavy
demo41,temp.adjust.ecoresults
demo41,temp.adjust.eco
demo41,Portfolio
demo41,P2V.base
demo41,profile.Finance.local
demo41,Financials.key
demo41,Reporting
demo41,temp.ecoresults.readonly
demo41,temp.financials
demo41,temp.input
demo41,temp.economics.readonly
demo41,temp.adjust.fin
demo41,temp.adjust.input.readonly
demo41,temp.admin.readonly
demo3,bd.deny.02
demo3,bd.deny.01
demo3,bd.001.deny
demo3,bd.deny.03
demo3,data.Corporate
demo3,data.Corporate.Finance
demo3,Reporting
demo3,P2V.base
demo3,profile.Finance.Headoffice
