displayName,logOnId,authenticationMethod,Domain,isDeactivated,isAccountLocked,description,emailAddress
RR - Demo User 01 - Light.HO,demo01,LOCAL,,FALSE,FALSE,Generic Light User.  Read only access to DF.  No access to PSE/F/Portfolio modules.,
RR - Demo User 02 - Light.NO,demo02,LOCAL,,FALSE,FALSE,Generic Light User.  Read only access to DF.  No access to PSE/F/Portfolio modules.,
RR - Demo User 03 - Light.FIN.PORT.NO,demo03,LOCAL,,FALSE,FALSE,"Read only - all PS (DF, PSE, PSF, PSP) modules",
RR - Demo User 04 - Light.RES.HO,demo04,LOCAL,,FALSE,FALSE,Light Reserves User.  DF Read only.,
RR - Demo User 05 - Light.FIN.PORT.HO,demo05,LOCAL,,FALSE,FALSE,"Read only - all PS (DF, PSE, PSF, PSP) modules",
RR - Demo User 06 - PetroVR.Headless,demo06,LOCAL,,FALSE,FALSE,Headless Calculation only ie DENY access to Dataflow tabs. Economics.Base access.  Basic PetroVR user.  No DF Loading rights ie Light user,
RR - Demo User 07 - CAPDAT.HO,demo07,LOCAL,,FALSE,FALSE,CAPDAT Ultra Light with no access to Dataflow just PSE & Generate API Key,
RR - Demo User 08 - CAPDAT.NO,demo08,LOCAL,,FALSE,FALSE,CAPDAT Ultra Light with no access to Dataflow just PSE & Generate API Key,
RR - Demo User 09 - Light.PVR.HO,demo09,LOCAL,,FALSE,FALSE,Hybrid of Demo01 and Demo06 ie Light user and PetroVR user,
RR - Demo User 10 - PM.PET.RO,demo10,LOCAL,,FALSE,FALSE,Project Manager Approver - Light Read only with tag rights,
RR - Demo User 11 - PM.Classic.NO,demo11,LOCAL,,FALSE,FALSE,Project Manager Classic -  Norway,
RR - Demo User 12 - SPARE,demo12,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 13 - SPARE,demo13,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 14 - PM.LCB.HO,demo14,LOCAL,,FALSE,FALSE,LCB Project Manager - HO,
RR - Demo User 15 - PM.Classic.PVR.NO,demo15,LOCAL,,FALSE,FALSE,SPARE Projectmanager Norway,
RR - Demo User 16 - SPARE,demo16,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 17 - SPARE,demo17,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 18 - SPARE,demo18,LOCAL,,FALSE,TRUE,SPARE,
